id,compile
1945,0
1946,1
1947,0
1948,0
1949,0
195,0
1950,0
1951,0
1952,1
1953,0
1954,0
1955,0
1956,0
1957,1
1958,0
1959,0
196,0
1960,0
1961,0
1962,0
1963,1
1964,1
1965,1
1966,0
1967,0
1968,0
1969,0
197,0
1970,0
1971,1
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
198,0
1980,1
1981,0
1982,1
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
199,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2,0
20,0
200,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,1
201,1
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
202,0
2020,0
2021,0
2022,0
2023,0
2024,1
2025,0
2026,0
2027,0
2028,0
2029,0
203,1
2030,0
2031,1
2032,1
2033,1
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
204,1
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,1
205,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
206,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
207,1
2070,0
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,0
2078,0
2079,0
208,1
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
209,1
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
21,0
210,1
2100,0
2101,0
2102,1
2103,0
2104,1
2105,1
2106,0
2107,0
2108,1
2109,0
211,0
2110,0
2111,1
2112,1
2113,0
2114,1
2115,1
2116,1
2117,1
2118,0
2119,0
212,0
2120,1
2121,1
2122,1
2123,0
2124,1
2125,1
2126,1
2127,1
2128,0
2129,1
213,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,1
2138,1
2139,1
214,0
2140,0
2141,1
2142,0
2143,0
2144,0
2145,0
2146,1
2147,0
2148,0
2149,0
215,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,1
2158,1
2159,1
216,1
2160,0
2161,0
2162,0
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,0
217,1
2170,0
2171,1
2172,1
2173,0
2174,0
2175,1
2176,0
2177,0
2178,1
2179,0
218,1
2180,0
2181,1
2182,1
2183,1
2184,1
2185,1
2186,0
2187,0
2188,1
2189,1
219,1
2190,0
2191,0
2192,1
2193,1
2194,1
2195,1
2196,0
2197,0
2198,1
2199,0
22,0
220,0
2200,1
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,1
2209,1
221,0
2210,1
2211,1
2212,1
2213,1
2214,1
2215,0
2216,1
2217,0
2218,0
2219,0
222,0
2220,0
2221,0
2222,1
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
223,0
2230,0
2231,0
2232,1
2233,0
2234,1
2235,0
2236,0
2237,0
2238,1
2239,1
224,0
2240,0
2241,1
2242,1
2243,1
2244,0
2245,0
2246,1
2247,0
2248,1
2249,0
225,0
2250,1
2251,0
2252,0
2253,0
2254,1
2255,0
2256,0
2257,1
2258,1
2259,1
226,0
2260,1
2261,0
2262,0
2263,0
2264,1
2265,0
2266,1
2267,1
2268,1
2269,1
227,0
2270,1
2271,1
2272,1
2273,0
2274,1
2275,0
2276,0
2277,0
2278,0
2279,1
228,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,1
2288,1
2289,1
229,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
23,0
230,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,1
2307,1
2308,0
2309,1
231,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
232,0
2320,1
2321,0
2322,0
2323,1
2324,1
2325,1
2326,0
2327,1
2328,0
2329,0
233,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,1
2338,0
2339,1
234,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,1
2347,0
2348,1
2349,0
235,0
2350,0
2351,0
2352,1
2353,1
2354,1
2355,0
2356,0
2357,0
2358,1
2359,0
236,0
2360,1
2361,1
2362,1
2363,1
2364,1
2365,0
2366,1
2367,1
2368,0
2369,0
237,1
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
238,1
2380,0
2381,0
2382,0
2383,1
2384,0
2385,1
2386,1
2387,0
2388,0
2389,0
239,1
2390,1
2391,0
2392,0
2393,1
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
24,0
240,1
2400,0
2401,0
2402,0
2403,1
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
241,1
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
242,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
243,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,1
2439,1
244,0
2440,1
2441,1
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
245,1
2450,0
2451,1
2452,1
2453,1
2454,1
2455,1
2456,0
2457,0
2458,0
2459,0
246,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
247,1
2470,0
2471,0
2472,0
2473,0
248,0
249,0
25,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,0
26,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
27,1
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,1
28,0
280,1
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,1
29,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
3,0
30,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
31,1
310,1
311,1
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,1
32,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,1
33,0
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,0
34,0
340,0
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,0
35,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
36,0
360,0
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,0
37,1
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
38,0
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,0
39,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,0
4,1
40,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
41,0
410,0
411,0
412,0
413,0
414,1
415,1
416,1
417,0
418,1
419,0
42,0
420,1
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,1
429,0
43,0
430,1
431,0
432,0
433,0
434,1
435,1
436,1
437,1
438,0
439,0
44,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
45,1
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
46,1
460,0
461,0
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,0
47,0
470,0
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
48,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,0
488,0
489,1
49,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
5,0
50,0
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,1
51,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,1
519,0
52,0
520,0
521,0
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
53,0
530,0
531,1
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
54,0
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,1
548,0
549,0
55,0
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,1
559,0
56,1
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,0
57,0
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
58,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
59,0
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,0
6,0
60,0
600,0
601,1
602,1
603,1
604,0
605,0
606,0
607,0
608,0
609,1
61,1
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,0
62,0
620,1
621,1
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,0
63,0
630,0
631,0
632,0
633,0
634,1
635,1
636,0
637,0
638,0
639,0
64,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
65,0
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
66,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
67,0
670,0
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
68,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,1
69,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,1
7,0
70,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
71,0
710,0
711,1
712,0
713,0
714,1
715,1
716,1
717,1
718,0
719,0
72,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
73,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
74,0
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,1
749,1
75,0
750,1
751,1
752,1
753,1
754,1
